record_date,generated_at,code,name,price,change_pct,change,volume,amount,source
2026-07-06,2026-07-06T11:24:33+08:00,000723,美锦能源,3.38,0.3,0.01,249498.0,84690165.49,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600425,青松建化,3.37,0.3,0.01,69896.0,23715909.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601616,广电电气,3.35,-3.46,-0.12,112253.0,38606193.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600076,康欣新材,3.35,-2.05,-0.07,265098.0,90081529.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000632,ST三木,3.35,-2.9,-0.1,82098.0,28466623.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300159,新研股份,3.34,-2.91,-0.1,355875.0,120924957.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000558,天府文旅,3.34,-0.6,-0.02,166711.0,56220864.72,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601399,国机重装,3.33,-4.03,-0.14,712200.0,242028779.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000615,*ST美谷,3.33,-0.89,-0.03,36222.0,12165116.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000055,方大集团,3.33,-1.19,-0.04,75174.0,25260000.05,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600255,鑫科材料,3.32,-0.3,-0.01,1083788.0,356664022.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600016,民生银行,3.32,1.22,0.04,1347820.0,445234820.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601326,秦港股份,3.31,1.22,0.04,158791.0,52191960.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601018,宁波港,3.31,0.91,0.03,294334.0,97018256.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600740,山西焦化,3.31,-0.3,-0.01,177063.0,58886860.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300173,ST福能,3.31,-1.19,-0.04,47524.0,16014933.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300070,碧水源,3.31,0.0,0.0,168458.0,55931185.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002822,ST中装,3.31,-3.5,-0.12,290816.0,96601925.09,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000698,ST沈化,3.31,-1.19,-0.04,37710.0,12663506.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600433,冠豪高新,3.3,-2.08,-0.07,255090.0,85447379.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600327,大东方,3.3,-0.6,-0.02,65469.0,21758731.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000629,钒钛股份,3.29,-1.79,-0.06,1182417.0,397122427.98,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600400,红豆股份,3.28,-5.2,-0.18,545569.0,181636979.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002329,皇氏集团,3.27,10.1,0.3,652592.0,208808518.97,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600626,申达股份,3.26,-1.81,-0.06,63447.0,20829837.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600496,精工钢构,3.26,-0.61,-0.02,157668.0,51385439.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600792,云煤能源,3.25,-0.61,-0.02,71896.0,23418882.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600594,益佰制药,3.25,1.56,0.05,184191.0,60323814.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000813,德展健康,3.25,1.88,0.06,326610.0,106073681.92,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601515,衢州东峰,3.24,-0.61,-0.02,96602.0,31554069.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600166,福田汽车,3.24,3.85,0.12,1131674.0,364355611.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300451,创业慧康,3.24,-1.82,-0.06,107518.0,35337850.01,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002374,中锐股份,3.24,-5.26,-0.18,246183.0,81073558.26,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600708,光明地产,3.23,0.94,0.03,296185.0,99021947.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600609,金杯汽车,3.23,-0.92,-0.03,84272.0,27566027.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600386,北巴传媒,3.23,-1.52,-0.05,34645.0,11267173.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600337,ST美克,3.23,0.31,0.01,102456.0,33353655.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000607,华媒控股,3.22,-0.31,-0.01,67560.0,21992364.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,603377,ST东时,3.21,8.45,0.25,127469.0,39866503.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300148,天舟文化,3.21,-0.62,-0.02,124557.0,40361654.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,603818,曲美家居,3.2,0.31,0.01,245800.0,79791259.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002421,达实智能,3.2,-4.48,-0.15,1115661.0,365171361.46,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600308,华泰股份,3.19,1.59,0.05,56265.0,17856971.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000812,陕西金叶,3.19,-1.85,-0.06,68431.0,22144133.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000809,和展能源,3.19,-0.93,-0.03,98557.0,31700415.5,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600963,岳阳林纸,3.18,0.0,0.0,201733.0,64685633.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600664,哈药股份,3.18,1.27,0.04,457714.0,145138547.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300026,红日药业,3.18,0.32,0.01,318384.0,100903907.04,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601106,中国一重,3.16,-4.24,-0.14,577748.0,185544951.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600853,龙建股份,3.16,-0.63,-0.02,44047.0,14014384.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002578,闽发铝业,3.16,-0.32,-0.01,217234.0,69881377.8,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300510,金冠股份,3.15,-2.17,-0.07,110657.0,35498227.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000889,中嘉博创,3.14,-4.27,-0.14,201215.0,64699440.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601933,永辉超市,3.13,1.29,0.04,978267.0,302871545.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600798,宁波海运,3.13,-0.95,-0.03,72641.0,22869024.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300111,向日葵,3.13,-0.95,-0.03,723773.0,230709087.38,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002263,大东南,3.13,-3.4,-0.11,483626.0,153603978.8,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600800,渤海化学,3.12,-0.95,-0.03,165475.0,52687201.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600725,云维股份,3.12,-1.27,-0.04,100888.0,31818236.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600339,中油工程,3.12,-0.32,-0.01,262715.0,82434124.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601279,英利汽车,3.11,-0.64,-0.02,65090.0,20449663.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300135,宝利国际,3.11,-2.81,-0.09,89892.0,28447210.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002069,獐子岛,3.11,0.97,0.03,66896.0,21026357.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600831,广电网络,3.1,-1.27,-0.04,66085.0,20666615.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002060,广东建工,3.1,0.32,0.01,104976.0,32629742.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600758,辽宁能源,3.09,-1.59,-0.05,258978.0,81235598.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002573,清新环境,3.09,0.0,0.0,35779.0,11089925.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002554,惠博普,3.09,0.0,0.0,233953.0,72953957.26,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000428,华天酒店,3.09,-0.64,-0.02,51676.0,16100982.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600575,淮河能源,3.08,-0.65,-0.02,322333.0,99858113.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600108,亚盛集团,3.08,-1.28,-0.04,452994.0,142051718.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000090,天健集团,3.08,-0.32,-0.01,96720.0,29840621.2,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000002,万  科Ａ,3.07,-0.65,-0.02,583584.0,179846027.14,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600665,天地源,3.05,-1.93,-0.06,101058.0,31240857.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002523,天桥起重,3.05,-2.56,-0.08,121468.0,37448485.66,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002228,合兴包装,3.04,-1.62,-0.05,84775.0,25948610.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601818,光大银行,3.03,1.68,0.05,1397240.0,420083498.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600794,保税科技,3.03,0.0,0.0,55019.0,16715172.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600684,珠江股份,3.03,-3.5,-0.11,103631.0,31843410.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600261,阳光照明,3.03,-1.62,-0.05,74868.0,22857120.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600103,青山纸业,3.03,-1.94,-0.06,502749.0,154405285.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002656,*ST摩登,3.03,-0.66,-0.02,37108.0,11244410.99,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002172,澳洋健康,3.03,0.66,0.02,103261.0,31405828.2,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000965,天保基建,3.03,0.0,0.0,65532.0,19867152.76,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002307,北新路桥,3.01,-0.99,-0.03,134034.0,40650612.6,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000820,*ST节能,3.01,-3.53,-0.11,40288.0,12397393.2,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600688,上海石化,3.0,2.74,0.08,762459.0,227176330.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002437,誉衡药业,3.0,1.35,0.04,882193.0,265718758.38,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600217,中再资环,2.99,0.34,0.01,176454.0,53722060.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002157,正邦科技,2.99,3.46,0.1,1398893.0,414461032.31,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,603718,*ST海利,2.98,-0.67,-0.02,38283.0,11503294.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601015,陕西黑猫,2.98,-1.0,-0.03,178286.0,53528783.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002640,跨境通,2.98,-2.61,-0.08,338267.0,101793043.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600959,江苏有线,2.97,-0.34,-0.01,160116.0,47717107.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600322,津投城开,2.97,-3.26,-0.1,437887.0,131878291.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600300,维维股份,2.97,1.37,0.04,134302.0,39864317.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002596,海南瑞泽,2.97,-3.26,-0.1,214725.0,65336457.28,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000659,珠海中富,2.97,-3.26,-0.1,231291.0,68897897.8,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,603363,傲农生物,2.96,2.78,0.08,448935.0,132780329.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600082,ST海泰,2.96,0.34,0.01,118500.0,35232343.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002385,大北农,2.96,2.07,0.06,721606.0,213471010.52,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002377,国创高新,2.96,3.86,0.11,463699.0,135937730.65,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601908,京运通,2.95,-1.67,-0.05,184816.0,54924452.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601228,广州港,2.94,1.03,0.03,132826.0,38925088.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002110,三钢闽光,2.94,0.0,0.0,117825.0,34790902.84,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600751,海航科技,2.93,-1.01,-0.03,149718.0,44209757.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300078,思创智联,2.93,-2.33,-0.07,128904.0,38280583.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000631,顺发恒能,2.93,-2.33,-0.07,96452.0,28575717.69,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601333,广深铁路,2.92,0.0,0.0,394312.0,115093514.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601388,怡球资源,2.9,-0.68,-0.02,377332.0,112191078.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600208,衢州发展,2.9,-2.03,-0.06,862051.0,253740631.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600067,冠城新材,2.89,-1.03,-0.03,178936.0,52480868.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002551,尚荣医疗,2.89,0.7,0.02,86093.0,24872511.65,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000068,华控赛格,2.88,-3.68,-0.11,124262.0,36596857.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601599,浙文影业,2.87,-0.35,-0.01,90924.0,26287250.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002175,*ST东智,2.87,9.96,0.26,56493.0,16213491.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000563,陕国投Ａ,2.87,0.35,0.01,254671.0,73232511.4,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002958,青农商行,2.85,0.71,0.02,293054.0,83156450.03,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002127,南极电商,2.85,3.26,0.09,392922.0,112971989.94,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300338,*ST开元,2.84,0.0,0.0,40375.0,11617595.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002506,协鑫集成,2.84,-4.38,-0.13,1901765.0,554012681.81,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600165,ST宁科,2.83,-2.08,-0.06,98229.0,28763301.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601188,龙江交通,2.82,-0.35,-0.01,42152.0,11950578.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,000981,山子高科,2.82,-4.73,-0.14,1890313.0,544485031.85,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002489,浙江永强,2.81,-1.06,-0.03,121613.0,34446396.82,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002445,中南文化,2.81,-3.77,-0.11,484549.0,139522279.2,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300355,蒙草生态,2.8,-0.71,-0.02,121413.0,34324568.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300185,通裕重工,2.8,-2.44,-0.07,664189.0,187577641.2,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601916,浙商银行,2.79,2.57,0.07,1194064.0,329989012.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600515,海南机场,2.79,0.0,0.0,437805.0,122553987.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600248,陕建股份,2.79,0.72,0.02,88088.0,24581768.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600008,首创环保,2.78,-0.36,-0.01,387232.0,107970124.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600617,国新能源,2.77,-2.46,-0.07,119131.0,33417196.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002390,信邦制药,2.77,1.09,0.03,118709.0,32760482.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002356,赫美集团,2.77,-1.42,-0.04,111804.0,31255566.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,601518,XD吉林高,2.75,1.1,0.03,102820.0,28273344.0,本地最近行情CSV
